App	Category	Rating	Reviews	Size	Installs	Type	Price	Content Rating	Genres	Last Updated	Current Ver	Android Ver
Tennis Champion 3D - Online Sports Game	SPORTS	4.0	170973	43M	5,000,000+	Free	0	Everyone	Sports	June 6, 2018	2.1	4.1 and up
Carnivores: Dinosaur Hunter	GAME	4.2	62636	17M	1,000,000+	Free	0	Teen	Action	July 2, 2018	1.8.0	4.0.3 and up
High School Simulator 2017	FAMILY	4.2	123136	80M	5,000,000+	Free	0	Mature 17+	Simulation	June 25, 2018	1.0	4.0 and up
Hopeless Land: Fight for Survival	GAME	4.2	250197	44M	5,000,000+	Free	0	Teen	Action	July 12, 2018	1.0	4.1 and up
SofaScore Live Score	SPORTS	4.8	221722	Varies with device	10,000,000+	Free	0	Everyone	Sports	July 26, 2018	Varies with device	Varies with device
Virtual Cigarette Smoking (prank)	FAMILY	3.7	29838	Varies with device	5,000,000+	Free	0	Mature 17+	Entertainment	June 28, 2018	2.2	Varies with device
Scanning body and undressing people	FAMILY	3.4	1012	12M	100,000+	Free	0	Teen	Entertainment	February 24, 2018	2.0	3.0 and up
Ultimate Tennis	SPORTS	4.3	183004	100M	10,000,000+	Free	0	Everyone	Sports	July 19, 2018	2.29.3118	4.0.3 and up
Legion of Heroes	FAMILY	4.3	143087	69M	1,000,000+	Free	0	Everyone 10+	Role Playing	July 12, 2018	1.9.22	4.0 and up
Soccer Star 2018 Top Leagues   MLS Soccer Games	SPORTS	4.6	652940	90M	10,000,000+	Free	0	Teen	Sports	July 5, 2018	1.3.5	4.1 and up
Heroes Arena	GAME	4.2	336386	88M	10,000,000+	Free	0	Everyone 10+	Action	July 24, 2018	2.0.1	4.0.3 and up
virtual lover 3D	FAMILY	4.6	5195	64M	100,000+	Free	0	Mature 17+	Entertainment	April 18, 2018	1.3	4.1 and up
Range Master: Sniper Academy	SPORTS	4.1	91935	39M	10,000,000+	Free	0	Everyone	Sports	April 26, 2018	2.1.3	4.1 and up
DINO HUNTER: DEADLY SHORES	GAME	4.4	1381624	54M	10,000,000+	Free	0	Teen	Action	March 14, 2017	3.1.1	3.0 and up
FC Barcelona Official App	SPORTS	4.6	92522	56M	5,000,000+	Free	0	Everyone	Sports	July 26, 2018	4.0.14	4.1 and up
Can Your Pet? : Returns - Teen	FAMILY	4.3	45370	14M	1,000,000+	Free	0	Teen	Simulation	August 2, 2018	2.59.8	2.3 and up
GUYZ - Gay Chat & Gay Dating	SOCIAL	4.4	41269	Varies with device	1,000,000+	Free	0	Mature 17+	Social	May 10, 2017	1.3.6.4	4.0.3 and up
Bubbu   My Virtual Pet	FAMILY	4.7	394842	75M	10,000,000+	Free	0	Everyone	Casual;Pretend Play	August 4, 2018	1.50	4.1 and up
3D Tennis	SPORTS	4.2	1008012	13M	50,000,000+	Free	0	Everyone	Sports	December 5, 2017	1.7.7	2.1 and up
Start the Hunt for the Lost Treasure	FAMILY	3.8	302	8.1M	10,000+	Free	0	Everyone	Puzzle;Brain Games	September 13, 2017	1.4	4.0.3 and up
Treasure Hunt Hidden Objects Adventure Game	FAMILY	4.3	1231	Varies with device	100,000+	Free	0	Everyone	Puzzle	May 24, 2018	2.2	4.1 and up
Scanning under clothes (prank)	FAMILY	3.7	1443	20M	100,000+	Free	0	Mature 17+	Entertainment	January 18, 2018	3.0	2.3 and up
WGT Golf Game by Topgolf	SPORTS	4.3	148083	57M	10,000,000+	Free	0	Everyone	Sports	July 24, 2018	1.42.2	4.1 and up
3D Holograms Joke	FAMILY	2.9	31596	31M	5,000,000+	Free	0	Teen	Simulation	December 23, 2016	1.5	2.3 and up
Weaphones  Gun Sim Free Vol 1	FAMILY	4.3	598975	39M	10,000,000+	Free	0	Everyone	Simulation	January 17, 2018	2.4.0	4.0 and up
Hidden Objects Treasure Hunt Adventure Games	FAMILY	4.3	275	29M	10,000+	Free	0	Everyone	Puzzle	July 9, 2018	1.0.1	4.4 and up
Live Camera Viewer   World Webcam & IP Cam Streams	TRAVEL_AND_LOCAL	4.0	64164	3.6M	10,000,000+	Free	0	Everyone	Travel & Local	April 7, 2018	1.9	4.1 and up
Body scanner (prank)	FAMILY	3.3	16063	3.8M	1,000,000+	Free	0	Teen	Casual	June 2, 2016	3.0	2.3 and up
AP Mobile - Breaking News	NEWS_AND_MAGAZINES	4.5	76616	4.6M	1,000,000+	Free	0	Everyone 10+	News & Magazines	May 25, 2017	4.4.3	4.0 and up
AP ENPS Mobile	PRODUCTIVITY	4.1	22	545k	5,000+	Free	0	Everyone	Productivity	March 8, 2016	8.0.0130	4.4 and up
AP  Guide	FAMILY	5.0	3	2.1M	1,000+	Free	0	Everyone	Education	July 31, 2017	1.3	4.0.3 and up
WiFi Access Point (hotspot)	COMMUNICATION	3.9	684	61k	100,000+	Free	0	Everyone	Communication	May 14, 2015	1.1.2	2.3 and up
AP Mobile	FAMILY	4.6	117	13M	10,000+	Free	0	Everyone	Education	November 21, 2017	1.03	6.0 and up
AP Manager	TOOLS	4.0	177	2.8M	10,000+	Free	0	Everyone	Tools	May 4, 2015	1.0.8	2.3 and up
AP App for Android 	NEWS_AND_MAGAZINES	3.6	188	9.9M	10,000+	Free	0	Everyone	News & Magazines	May 12, 2016	1.0	4.0 and up
Access Point Finder	LIFESTYLE	4.0	22	2.5M	10,000+	Free	0	Everyone	Lifestyle	September 6, 2016	1.0	3.0 and up
AP English Language: Practice Tests and Flashcards	FAMILY	4.5	19	5.4M	5,000+	Free	0	Everyone	Education	July 3, 2018	1.6.7.1	4.1 and up
